,Name,Beschreibung,Preis,Versandart
0,Garmin EDGE 530 inkl. Garmin HRM-Dual NEU,Verkaufe meinen Garmin EDGE 530 und Garmin HRM-Dual. Beides noch nie benutzt.,"
                                        239 ",
1,Garmin Edge 530 Sensor Bundle ungenutzt,"Verkaufe unbenutztes Garmin EDGE 530 Sensor Bundle.
Habe es vor 1 Jahr geschenkt bekommen aber nie...","
                                        150 ",Versand möglich
2,"Garmin Edge 530, neu!","Biete hier ein neues Garmin Edge 530.
Original mit Garantie.

Gerät wurde nur ausgepackt.

Bei...","
                                        185 ",Versand möglich
3,Garmin Edge530 GPS Radcomputer,"Gerät ist neu, umständehalber zu verkaufen - komplett mit allem Zubehör, Kabel, Radhalter etc.","
                                        125 ",Versand möglich
4,Rad Computer Garmin Edge 530/ Navi,Das Fahrrad-Navi ist mit seiner Vielzahl an Funktionen der perfekte Kompagnon beim Radfahren - bei...,"
                                        100  ",
5,Garmin Edge 530 | Neu & OVP,"Letztjährig gekaufter Edge 530. Neugerät nach Kulanzausstausch. Massenspeicher war defekt.

Der...","
                                        200 ",
6,GARMIN Edge 530 Sensor Bundle GPS - Fahrradcomputer,"GARMIN Edge 530 Sensor Bundle - € 399,-
GARMIN Edge 830 Sensor Bundle - € 499,-
GARMIN Edge 1030...","
                                        399 ",
7,Lenker Halterung Garmin Fahrrad etc. zb Garmin Edge 530,"Die Halterung ist mir zum Geburtstag geschenkt worden, da ich jedoch das Edge 530 Verkaufe, brauche...","
                                        20 ",
8,Garmin Edge 530 GPS-Fahrradcomputer,"Garmin Edge 530 GPS-Fahrradcomputer
Neu!!!
OVP ungeöffnet
Versand Gratis
Abholung möglich","
                                        239 ",
9,Garmin Halterung Edge 1030 1000 830 520 530 canyon aero,"Neu und unmontiert.
Mit Adaptern für verschiedene Lenkerdurchmesser und unten eine Aufnahme für...","
                                        20 ",
10,"Garmin Edge Fahrradcomputer 130 Plus, 1030 Plus, 530, 830 testen",im Paceheads-Abo testen oder kaufen. Diverse Garmin Edge Fahrradcomputer für 1 oder 3 Monate selbst...,"
                                        13 ",Versand möglich
11,"Garmin Edge Fahrradcomputer 130 Plus, 1030 Plus, 530, 830 testen",im Paceheads-Abo testen oder kaufen. Diverse Garmin Edge Fahrradcomputer für 1 oder 3 Monate selbst...,"
                                        13 ",Versand möglich
12,Suche defekte Garmin Edge 530 / 830 / 1030 zum Basteln,"Hallo,

Ich bin auf der Suche nach defekten Garmin Edge 530 \ 830 / 1030
Schickt mir...","
                                         ",Gesuch
13,Garmin Edge 530 MTB Bundle 148749,"Verkaufe von Garmin Edge 530 MTB Bundle Neu

Allgemein
Abmessungen	
Farbdisplay	
Anzeigegröße, B x...","
                                        269 ",
14,"Garmin GPS Fahrrad Radcomputer Edge 530 - 2,6“ Farbdisplay 20h Ak","Garmin GPS Fahrrad Radcomputer Edge 530 - 2,6“ Farbdisplay 20h Akku","
                                        185  ",Versand möglich
15,"Garmin Edge 530 GPS-Fahrradcomputer mit 2,6“ Farbdisplay Händler","199,00€ inkl. MwSt, zzgl. Versandkosten.

Neu Garmin Edge 530 – GPS-Fahrradcomputer mit 2,6“...","
                                        199 ",
16,"Garmin Edge 530 GPS Fahrrad Radcomputer - 2,6“ Farbdisplay NEU","nagelneu, unbenutzt, originalverpackt

Versand möglich","
                                        199 ",
17,Garmin Halterung Edge 1030 1000 830 520 530 canyon aero,"Neu und unmontiert.
Mit Adaptern für verschiedene Lenkerdurchmesser und unten eine Aufnahme für...","
                                        20 ",
18,neue GARMIN Edge 530 Performance BUNDLE komplett mit Alles,"Ich verkaufe neue GARMIN Edge 530 Performance BUNDLE komplett mit Alles. Gekauft im Januar 2021,...","
                                        340 ",
19,Garmin Edge Schlaufe Sicherung 1030 plus 1000 830 530 520 Rennrad,"Original (Garmin)
Neu

Versand möglich.","
                                        5 ",
20,Garmin Speed Sensor Edge 1030 plus 1000 830 530 520 Rennrad,"Zum Verkauf steht ein Garmin Speed Sensor.
Kaum benutzt.

Batterie rein und losfahren.

Versand...","
                                        30 ",
21,Garmin Edge 530/830 Cover Gelb+Blau+2 Panzerglasfolien NEU+OVP,"Verkaufe 2 Cover für Garmin Edge 530/830 plus 2 Panzerglasfolien Neu und OVP.

Keine Garantie...","
                                        10 ",
22,"Garmin Halterung Fahrrad Edge 530,830,1000","Gebrauchte Halterung, Versand möglich","
                                        8 ",
23,Garmin Avionik Display GDU 620 Garmin 500 600 für GNS 430 GNS 530,"Hallo - aus Umbau ...

GDU 620 Display

PLUS:

Div. Teile, Avoniks, Instrumente, Autopilot,...","
                                         ",Versand möglich
